Facility.ID,Measure.ID.x,Value,Footnote.x,Start.Date.x,End.Date.x,Facility.Name.x,State.x,Measure.Name.x,Number.of.Discharges,Footnote.y,Excess.Readmission.Ratio,Predicted.Readmission.Rate,Expected.Readmission.Rate,Number.of.Readmissions,Start.Date.y,End.Date.y,Facility.Name.y,Address.x,City.x,State.y,ZIP.Code.x,County.Name.x,Phone.Number.x,Measure.ID.y,Measure.Name.y,Score.x,Footnote.x.x,Start.Date.x.x,End.Date.x.x,Facility.Name,Address.y,City.y,State,ZIP.Code.y,County.Name.y,Phone.Number.y,Measure.ID,Measure.Name,Compared.to.National,Denominator,Score.y,Lower.Estimate,Higher.Estimate,Footnote.y.y,Start.Date.y.y,End.Date.y.y
380060,MSPB-1,0.871528,NA,1/1/2021,12/31/2021,ADVENTIST HEALTH PORTLAND,OR,READM-30-HF-HRRP,229,NA,0.9314,19.4865,20.9216,40,7/1/2018,6/30/2021,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,(503) 257-2500,OP-39,Breast Cancer Screening Recall Rates,6.5,NA,7/1/2020,6/30/2021,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,(503) 257-2500,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.87,0.52,1.22,NA,7/1/2019,6/30/2021
380005,MSPB-1,0.936152,NA,1/1/2021,12/31/2021,ASANTE ASHLAND COMMUNITY HOSPITAL,OR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,7/1/2018,6/30/2021,ASANTE ASHLAND COMMUNITY HOSPITAL,280 MAPLE STREET,ASHLAND,OR,97520,JACKSON,(541) 201-4000,OP-10,Abdomen CT Use of Contrast Material,5.6,NA,7/1/2020,6/30/2021,ASANTE ASHLAND COMMUNITY HOSPITAL,280 MAPLE STREET,ASHLAND,OR,97520,JACKSON,(541) 201-4000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.94,0.49,1.39,NA,7/1/2019,6/30/2021
380002,MSPB-1,0.901572,NA,1/1/2021,12/31/2021,ASANTE THREE RIVERS MEDICAL CENTER,OR,READM-30-HF-HRRP,172,NA,0.8379,16.4016,19.5742,17,7/1/2018,6/30/2021,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,(541) 472-7000,OP-10,Abdomen CT Use of Contrast Material,5.3,NA,7/1/2020,6/30/2021,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,(541) 472-7000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.73,0.36,1.09,NA,7/1/2019,6/30/2021
380090,MSPB-1,0.845997,NA,1/1/2021,12/31/2021,BAY AREA HOSPITAL,OR,READM-30-HF-HRRP,406,NA,0.9718,21.156,21.769,84,7/1/2018,6/30/2021,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420,COOS,(541) 269-8135,OP-39,Breast Cancer Screening Recall Rates,8,NA,7/1/2020,6/30/2021,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420,COOS,(541) 269-8135,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.18,0.83,1.53,NA,7/1/2019,6/30/2021
380014,MSPB-1,0.882605,NA,1/1/2021,12/31/2021,GOOD SAMARITAN REGIONAL MEDICAL CENTER,OR,READM-30-HF-HRRP,228,NA,0.8708,16.5385,18.9914,29,7/1/2018,6/30/2021,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,OR,97330,BENTON,(541) 768-5111,OP-39,Breast Cancer Screening Recall Rates,8.6,NA,7/1/2020,6/30/2021,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3600 NW SAMARITAN DRIVE,CORVALLIS,OR,97330,BENTON,(541) 768-5111,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.79,0.46,1.12,NA,7/1/2019,6/30/2021
380103,MSPB-1,0.796023,NA,1/1/2021,12/31/2021,KAISER FOUNDATION HOSPITAL - WESTSIDE,OR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,7/1/2018,6/30/2021,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,OR,97124,WASHINGTON,(971) 310-1000,OP-10,Abdomen CT Use of Contrast Material,Not Available,5,7/1/2020,6/30/2021,KAISER FOUNDATION HOSPITAL - WESTSIDE,2875 NW STUCKI AVE,HILLSBORO,OR,97124,WASHINGTON,(971) 310-1000,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.98,0.53,1.43,NA,7/1/2019,6/30/2021
380091,MSPB-1,0.832663,NA,1/1/2021,12/31/2021,KAISER SUNNYSIDE MEDICAL CENTER,OR,READM-30-HF-HRRP,N/A,NA,0.9775,21.7218,22.2224,Too Few to Report,7/1/2018,6/30/2021,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,CLACKAMAS,OR,97015,CLACKAMAS,(503) 652-2880,OP-10,Abdomen CT Use of Contrast Material,Not Available,5,7/1/2020,6/30/2021,KAISER SUNNYSIDE MEDICAL CENTER,10180 SE SUNNYSIDE ROAD,CLACKAMAS,OR,97015,CLACKAMAS,(503) 652-2880,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.8,0.41,1.19,NA,7/1/2019,6/30/2021
380007,MSPB-1,0.958616,NA,1/1/2021,12/31/2021,LEGACY EMANUEL MEDICAL CENTER,OR,READM-30-HF-HRRP,139,NA,0.9895,21.3688,21.5955,29,7/1/2018,6/30/2021,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,OP-10,Abdomen CT Use of Contrast Material,2.1,NA,7/1/2020,6/30/2021,LEGACY EMANUEL MEDICAL CENTER,2801 N GANTENBEIN AVENUE,PORTLAND,OR,97227,MULTNOMAH,(503) 413-2200,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.93,0.62,1.24,NA,7/1/2019,6/30/2021
380017,MSPB-1,0.927488,NA,1/1/2021,12/31/2021,LEGACY GOOD SAMARITAN MEDICAL CENTER,OR,READM-30-HF-HRRP,219,NA,1.0058,21.2873,21.165,47,7/1/2018,6/30/2021,LEGACY GOOD SAMARITAN MEDICAL CENTER,"1015 NW 22ND AVENUE, W121",PORTLAND,OR,97210,MULTNOMAH,(503) 413-7682,OP-8,MRI Lumbar Spine for Low Back Pain,53.3,NA,7/1/2020,6/30/2021,LEGACY GOOD SAMARITAN MEDICAL CENTER,"1015 NW 22ND AVENUE, W121",PORTLAND,OR,97210,MULTNOMAH,(503) 413-7682,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,1.01,0.7,1.32,NA,7/1/2019,6/30/2021
380089,MSPB-1,0.895391,NA,1/1/2021,12/31/2021,LEGACY MERIDIAN PARK MEDICAL CENTER,OR,READM-30-HF-HRRP,225,NA,0.9671,18.2817,18.9042,39,7/1/2018,6/30/2021,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,OR,97062,WASHINGTON,(503) 692-2182,OP-39,Breast Cancer Screening Recall Rates,8.7,NA,7/1/2020,6/30/2021,LEGACY MERIDIAN PARK MEDICAL CENTER,19300 SW 65TH AVENUE,TUALATIN,OR,97062,WASHINGTON,(503) 692-2182,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,Not Applicable,0.86,0.48,1.23,NA,7/1/2019,6/30/2021
